SKU,buying_price
boy_nice_white_green_c3,200
boy_la_yellow_c1,170
girl_pista_flower_c1,170
boy_dreambig_skyblue_c1,170
girl_happylook_lightpink_c2,170
girl_happylook_pista_c2,170
girl_happylook_skyblue_c2,170
boy_la_marron_c1,170
girl_happylooks_yellow_c3,170
boy_la_pista_c1,170
boy_dreambig_marron_c1,170
girl_happylooks_pista_c3,170
boy_dreambig_mahedi_c1,170
boy_la_skyblue_c1,170
boy-nice-black-c2,170
boy_dreambig_pista_c1,170
boy_nice_white_green_c4,200
girl_happylook_yellow_c2,170
boy_urban_royalblue_c1,170
girl_white_pink_butterfly,200
girl_dark_pink_flower_c2,170
boy_la_royalblue_c1,170
boy_black_brown_mario,200
boy_la_aquablue_c1,170
girl_dhingli_lightpink_c1,170
boy_nice_white_green,200
boy_dreambig_aquablue_c1,170
boy_la_white_c1,170
girl_methi_heart_c1,170
boy-nice-black-c1,170
boy_dreambig_royalblue_c1,170
boy_urban_mahedi_c1,170
boy_nice_white_green_c2,170
boy_dreambig_yellow_c1,170
boy_urban_red_c1,170
girl_dhingli_yellow_c1,170
girl_dark_pink_flower_c1,170
girl_happylook_darkpink_c2,170
girl_dhingli_skyblue_c1,170
girl_red_flower_c1,170
boy_run_c2,170
girl_dhingli_pista_c1,170
boy_urban_orange_c1,170
girl_red_flower_c2,170
boy_run_marron_c2,170
boy_run_marron_c1,170
boy_nice_white_brown_c2,200
boy_run_green_c1,170
boy_run_blue_c2,170
boy_run_blue_c1,170
boy_nice_white_brown,200
boy-nice-black-c3,170
boy_run_green_c2,170
boy_run_yellow_c1,170
girl_methi_flower_c1,170
boy_nice_green,200
girl_light_pink_flower_c1,200
boy_nice_white_brown_c3,200
girl_blank_pinch_cycle,200
boy_white_orange_mario,200
boy_white_brown_mario,200
girl_white_pink_butterfly_c3,200
girl_bicflower_yellow_c4,170
girl_bicflower_pista_c4,170
girl_flowering_pista_c2,170
girl_flowerring_red_c3,170
boy_nice_green_c5,200
boy_nice_white_brown_c4,200
boy_nolimit_orange_c2,170
boy_nolimit_yellow_c2,170
boy_run_yellow_c3,170
girl_bicflower_lightpink_c1,170
girl_bicflower_pista_c1,170
girl_bicflower_yellow_c1,170
girl_flowerring_pista_c2,170
girl_flowerring_red_c2,170
wmen_ black_skyblue_tshirt,110
boy_nicepanda_marron_c2,170
boy_run_mahedi_c3,170
boy_run_marron_c3,170
boy_nicepanda_pista_c2,170
boy_nicepanda_mahedi_c2,170
girl_bicflower_lightpink_c3,170
