"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","193796531467351040_1","2025-09-01","Tamil Nadu","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","2-3 Years","1","250.0","250.0",
"DELIVERED","193796539017098240_1","2025-09-01","West Bengal","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","6-7 Years","1","290.0","290.0",
"DELIVERED","193796886384115464_1","2025-09-01","Gujarat","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","5-6 Years","1","280.0","272.0",
"DELIVERED","193796886384115464_2","2025-09-01","Gujarat","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","262.0",
"DELIVERED","193798923830198016_1","2025-09-01","Maharashtra","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","10-11 Years","1","270.0","262.0",
"DELIVERED","193799462703107776_1","2025-09-01","Delhi","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","3-4 Years","1","200.0","200.0",
"DELIVERED","193799407199261249_1","2025-09-01","West Bengal","07-(Girls)(Joggeres)Dreamer-Black+Orange","07-(Girls)(Joggeres)Dreamer-Black+Orange","5-6 Years","1","280.0","272.0",
"CANCELLED","193801915312668416_1","2025-09-01","Haryana","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","12-13 Years","1","290.0","290.0",
"RTO_COMPLETE","193804208611497472_1","2025-09-01","Telangana","Cute  Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Maroon+Black","13-14 Years","1","300.0","300.0",
"DELIVERED","193804875649283072_1","2025-09-01","Rajasthan","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","12-13 Years","1","350.0","350.0",
"RTO_COMPLETE","193809470395225600_1","2025-09-01","West Bengal","Princess Comfy Boys Top & Bottom Sets","124- Square -White","4-5 Years","1","235.0","235.0",
"DELIVERED","193817289828629632_1","2025-09-01","Karnataka","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","6-7 Years","1","290.0","290.0",
"DELIVERED","193827774661955264_1","2025-09-01","Maharashtra","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","6-7 Years","1","290.0","282.0",
"CANCELLED","193851067925729856_1","2025-09-01","Delhi","Princess Elegant Boys Top & Bottom Sets","448-(Boys)(FS)Nice-White+Black","3-4 Years","1","270.0","270.0",
"DELIVERED","193854091251708932_1","2025-09-01","Uttarakhand","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","5-6 Years","1","280.0","280.0",
"CANCELLED","193855446616149696_1","2025-09-01","Delhi","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","3-4 Years","1","260.0","260.0",
"DELIVERED","193870995575248384_1","2025-09-01","Tamil Nadu","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","7-8 Years","1","240.0","233.0",
"DELIVERED","193872249048038528_1","2025-09-01","Bihar","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","10-11 Years","1","330.0","330.0",
"DELIVERED","193872576988352192_1","2025-09-01","Bihar","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","10-11 Years","1","330.0","330.0",
"RTO_COMPLETE","193874595323870976_1","2025-09-01","Telangana","Flawsome Elegant Girls Top & Bottom Sets","322-(Girls)(Joggeres)Butterfly Pink-White+Peach","9-10 Years","1","290.0","290.0",
