Customer State,Total Orders,Delivered Orders,RTO Orders,Cancelled Orders,Exchanged Orders,Delivered %,RTO %,Cancelled %,Exchanged %
Uttar Pradesh,56731,36983,17479,7841,550,65.19,30.81,13.82,0.97
Maharashtra,25089,17141,6936,2948,335,68.32,27.65,11.75,1.34
Bihar,24101,14811,8046,3324,154,61.45,33.38,13.79,0.64
Gujarat,17384,12418,4397,1904,250,71.43,25.29,10.95,1.44
Rajasthan,14854,9764,4575,1870,123,65.73,30.8,12.59,0.83
Karnataka,14836,10100,4001,1499,143,68.08,26.97,10.1,0.96
West Bengal,14501,10580,3251,1557,171,72.96,22.42,10.74,1.18
Madhya Pradesh,14272,9419,4154,1655,190,66.0,29.11,11.6,1.33
Andhra Pradesh,11805,8105,3049,1137,85,68.66,25.83,9.63,0.72
Delhi,10351,7379,2605,1189,156,71.29,25.17,11.49,1.51
Punjab,10089,6497,3174,1226,89,64.4,31.46,12.15,0.88
Telangana,10079,6802,2809,1012,116,67.49,27.87,10.04,1.15
Haryana,9802,6481,2968,1258,92,66.12,30.28,12.83,0.94
Tamil Nadu,9112,6419,2245,1017,86,70.45,24.64,11.16,0.94
Jharkhand,8067,5381,2353,969,76,66.7,29.17,12.01,0.94
Odisha,7454,5305,1797,856,68,71.17,24.11,11.48,0.91
Assam,7046,4553,1990,553,32,64.62,28.24,7.85,0.45
Chhattisgarh,5542,3897,1391,549,61,70.32,25.1,9.91,1.1
Uttarakhand,4988,3416,1379,553,74,68.48,27.65,11.09,1.48
Jammu & Kashmir,4330,2541,1617,566,34,58.68,37.34,13.07,0.79
Kerala,3565,2574,818,395,52,72.2,22.95,11.08,1.46
Himachal Pradesh,3241,2385,756,343,28,73.59,23.33,10.58,0.86
Meghalaya,753,535,183,70,0,71.05,24.3,9.3,0.0
Tripura,740,494,204,63,5,66.76,27.57,8.51,0.68
Chandigarh,693,474,184,83,14,68.4,26.55,11.98,2.02
Arunachal Pradesh,574,386,157,40,6,67.25,27.35,6.97,1.05
Manipur,573,440,112,61,0,76.79,19.55,10.65,0.0
Goa,476,339,111,31,4,71.22,23.32,6.51,0.84
Sikkim,293,203,76,16,3,69.28,25.94,5.46,1.02
Andaman and Nicobar Islands,245,131,102,38,0,53.47,41.63,15.51,0.0
Nagaland,202,148,42,21,4,73.27,20.79,10.4,1.98
Puducherry,197,134,51,23,4,68.02,25.89,11.68,2.03
Mizoram,186,141,39,11,0,75.81,20.97,5.91,0.0
Andaman & Nicobar Islands,121,98,15,6,0,80.99,12.4,4.96,0.0
Dadra & Nagar Haveli & Daman & Diu,106,72,28,8,2,67.92,26.42,7.55,1.89
Tamilnadu,105,91,11,8,1,86.67,10.48,7.62,0.95
Dadra and Nagar Haveli and Daman and Diu,70,46,18,11,0,65.71,25.71,15.71,0.0
